date,nav,daily_ret,acc_nav
2023-02-28,1.533,0.59,1.533
2023-03-01,1.55,1.11,1.55
2023-03-02,1.549,-0.06,1.549
2023-03-03,1.555,0.39,1.555
2023-03-06,1.55,-0.32,1.55
2023-03-07,1.535,-0.97,1.535
2023-03-08,1.535,0.0,1.535
2023-03-09,1.532,-0.2,1.532
2023-03-10,1.51,-1.44,1.51
2023-03-13,1.529,1.26,1.529
2023-03-14,1.519,-0.65,1.519
2023-03-15,1.53,0.72,1.53
2023-03-16,1.519,-0.72,1.519
2023-03-17,1.531,0.79,1.531
2023-03-20,1.522,-0.59,1.522
2023-03-21,1.534,0.79,1.534
2023-03-22,1.539,0.33,1.539
2023-03-23,1.545,0.39,1.545
2023-03-24,1.534,-0.71,1.534
2023-03-27,1.533,-0.07,1.533
2023-03-28,1.531,-0.13,1.531
2023-03-29,1.528,-0.2,1.528
2023-03-30,1.534,0.39,1.534
2023-03-31,1.54,0.39,1.54
2023-04-03,1.549,0.58,1.549
2023-04-04,1.558,0.58,1.558
2023-04-06,1.557,-0.06,1.557
2023-04-07,1.566,0.58,1.566
2023-04-10,1.563,-0.19,1.563
2023-04-11,1.563,0.0,1.563
2023-04-12,1.569,0.38,1.569
2023-04-13,1.564,-0.32,1.564
2023-04-14,1.573,0.58,1.573
2023-04-17,1.596,1.46,1.596
2023-04-18,1.601,0.31,1.601
2023-04-19,1.592,-0.56,1.592
2023-04-20,1.588,-0.25,1.588
2023-04-21,1.56,-1.76,1.56
2023-04-24,1.55,-0.64,1.55
2023-04-25,1.546,-0.26,1.546
2023-04-26,1.543,-0.19,1.543
2023-04-27,1.553,0.65,1.553
2023-04-28,1.57,1.09,1.57
2023-05-04,1.585,0.96,1.585
2023-05-05,1.577,-0.5,1.577
2023-05-08,1.598,1.33,1.598
2023-05-09,1.582,-1.0,1.582
2023-05-10,1.563,-1.2,1.563
2023-05-11,1.56,-0.19,1.56
2023-05-12,1.544,-1.03,1.544
2023-05-15,1.563,1.23,1.563
2023-05-16,1.556,-0.45,1.556
2023-05-17,1.551,-0.32,1.551
2023-05-18,1.556,0.32,1.556
2023-05-19,1.55,-0.39,1.55
2023-05-22,1.557,0.45,1.557
2023-05-23,1.537,-1.28,1.537
2023-05-24,1.519,-1.17,1.519
2023-05-25,1.516,-0.2,1.516
2023-05-26,1.522,0.4,1.522
2023-05-29,1.525,0.2,1.525
2023-05-30,1.525,0.0,1.525
2023-05-31,1.518,-0.46,1.518
2023-06-01,1.516,-0.13,1.516
2023-06-02,1.527,0.73,1.527
2023-06-05,1.527,0.0,1.527
2023-06-06,1.512,-0.98,1.512
2023-06-07,1.514,0.13,1.514
2023-06-08,1.522,0.53,1.522
2023-06-09,1.53,0.53,1.53
2023-06-12,1.529,-0.07,1.529
2023-06-13,1.531,0.13,1.531
2023-06-14,1.532,0.07,1.532
2023-06-15,1.543,0.72,1.543
2023-06-16,1.552,0.58,1.552
2023-06-19,1.546,-0.39,1.546
2023-06-20,1.54,-0.39,1.54
2023-06-21,1.526,-0.91,1.526
2023-06-26,1.506,-1.31,1.506
2023-06-27,1.521,1.0,1.521
2023-06-28,1.524,0.2,1.524
2023-06-29,1.521,-0.2,1.521
2023-06-30,1.53,0.59,1.53
2023-07-03,1.548,1.18,1.548
2023-07-04,1.548,0.0,1.548
2023-07-05,1.54,-0.52,1.54
2023-07-06,1.533,-0.45,1.533
2023-07-07,1.529,-0.26,1.529
2023-07-10,1.532,0.2,1.532
2023-07-11,1.54,0.52,1.54
2023-07-12,1.53,-0.65,1.53
